Energy(GeV), flux(numubar/m^{2}/P.O.T/GeV), err
52.8,4.22e-09,1.61e-09
52.9,1.09e-08,2.96e-09
53,3.36e-09,1.75e-09
53,7.49e-09,2.28e-09
53.1,1.92e-09,1.01e-09
53.2,2.81e-09,1.45e-09
53.4,1.87e-09,1.11e-09
53.5,2.38e-09,1.38e-09
53.5,1.01e-09,7.38e-10
53.6,3.95e-09,1.48e-09
53.8,1.91e-09,9.78e-10
53.9,5.05e-09,1.93e-09
54,4.17e-09,1.97e-09
54,3.41e-09,1.54e-09
54.1,1.34e-09,8.33e-10
54.2,2.02e-09,1.04e-09
54.4,3.79e-09,1.72e-09
54.5,7.32e-10,7.38e-10
54.5,6.52e-09,2.09e-09
54.6,0,0
54.8,4.47e-09,1.84e-09
54.9,2.3e-09,1.18e-09
55,3.02e-09,1.3e-09
55,4.86e-09,1.85e-09
55.1,1.75e-09,1.07e-09
55.2,0,0
55.4,2.24e-09,1.3e-09
55.5,7.6e-10,7.65e-10
55.5,5.27e-09,2.01e-09
55.6,7.86e-10,7.92e-10
55.8,3.32e-09,1.72e-09
55.9,1.35e-09,9.67e-10
56,1.52e-09,1.08e-09
56,4.09e-09,1.69e-09
56.1,2.83e-09,1.43e-09
56.2,1.31e-09,7.6e-10
56.4,3.53e-09,1.6e-09
56.5,1.17e-09,7.73e-10
56.5,1.52e-09,1.08e-09
56.6,1.46e-09,1.04e-09
56.8,7.55e-10,7.62e-10
56.9,2.35e-09,1.37e-09
57,1.16e-09,8.24e-10
57,2.2e-09,1.14e-09
57.1,3.45e-09,1.56e-09
57.2,2.84e-09,1.43e-09
57.4,1.79e-09,1.04e-09
57.5,0,0
57.5,2.25e-09,1.19e-09
57.6,2.86e-10,2.89e-10
57.8,1.34e-09,9.53e-10
57.9,0,0
58,6.16e-10,6.2e-10
58,4.23e-09,1.74e-09
58.1,7.06e-10,7.11e-10
58.2,5.45e-09,3.81e-09
58.4,0,0
58.5,1.12e-09,7.96e-10
58.5,2.06e-09,1.2e-09
58.6,1.09e-09,7.79e-10
58.8,1.84e-09,1.09e-09
58.9,7.3e-10,7.35e-10
59,1.38e-09,9.85e-10
59,3.51e-09,1.49e-09
59.1,2.78e-09,1.4e-09
59.2,2.65e-10,2.67e-10
59.4,2.66e-09,1.34e-09
59.5,6.92e-10,6.97e-10
59.5,7.08e-10,7.14e-10
59.6,6.48e-10,6.53e-10
59.8,1.43e-09,1.02e-09
59.9,1.1e-09,7.85e-10
60,0,0
60,2.09e-09,1.21e-09
60.1,1.38e-09,9.86e-10
